DISPUTE.id,DISPUTE.title,DISPUTE.economic_sector,DISPUTE.case_respondent,DISPUTE.amount_of_damages,DISPUTE.case_law_text,DISPUTE.case_treaties_tid,DISPUTE.case_claimant,DISPUTE.arbitration_rules,DISPUTE.outcome,DISPUTE.case_treaties,DISPUTE.case_country,DISPUTE.icsid_caseno
1039,"Société Générale In respect of DR Energy Holdings Limited and Empresa Distribuidora de Electricidad del Este, S.A. v. The Dominican Republic, UNCITRAL, LCIA Case No. UN 7927",,DOM,,Dominican Republic-France BIT,564.0,Société Générale,UNCITRAL,,Dominican Republic-France BIT,,UN 7927
3314,"Société d'Investigation de Recherche et d'Exploitation Minière v. Burkina Faso, ICSID Case No. ARB/97/1","Mining and quarrying, including hydrocarbons (oil and gas)",,,,,,ICSID,In favour of Investor,,,ARB/97/1
3316,"Société d'Exploitation des Mines d'Or de Sadiola S.A. v. Republic of Mali, ICSID Case No. ARB/01/5","Mining and quarrying, including hydrocarbons (oil and gas)",,,,,,ICSID,In favour of Investor,,,ARB/01/5
3318,"Société d'Etudes de Travaux et de Gestion SETIMEG S.A. v. Republic of Gabon, ICSID Case No. ARB/87/1",Construction,,,,,,ICSID,Settled,,,ARB/87/1
3831,"Société Civile Immobilière de Gaëta v. Republic of Guinea, ICSID Case No. ARB/12/36",Construction,,,Investment Law - Guinea (1987),,,ICSID,Discontinued,,,ARB/12/36
1048,"Suez, Sociedad General de Aguas de Barcelona S.A., and InterAguas Servicios Integrales del Agua S.A. v. The Argentine Republic, ICSID Case No. ARB/03/17 (formerly Aguas Provinciales de Santa Fe S.A, Suez, Sociedad General de Aguas de Barcelona, S.A., and",,ARG,,Argentina-France BIT,234.0,"Suez, InterAguas Servicios Integrales del Agua S.A., Sociedad General de Aguas de Barcelona S.A.",ICSID,,Argentina-France BIT,,ARB/03/17
1035,"Sociedad Anónima Eduardo Vieira v. República de Chile, ICSID Case No. ARB/04/7",,CHL,,Chile-Spain BIT,501.0,Sociedad Anónima Eduardo Vieira,ICSID,,Chile-Spain BIT,,ARB/04/7
1833,"Slovak Gas Holding BV, GDF International SAS and E.ON Ruhrgas International GmbH v. Slovak Republic, ICSID Case No. ARB/12/7",,SVK,,Energy Charter Treaty (ECT),59.0,"Slovak Gas Holding BV, GDF International SAS, E.ON Ruhrgas International GmbH",ICSID,,Energy Charter Treaty (ECT),,ARB/12/7
1033,"Sky Petroleum, Inc. v. Ministry of Economy, Trade, and Energy of Albania et al, UNCITRAL",,ALB,,Albania-United States BIT,561.0,"Sky Petroleum, Inc.",UNCITRAL,,Albania-United States BIT,,
1506,"Sistem Mühendislik In_aat Sanayi ve Ticaret A._. v. Kyrgyz Republic, ICSID Case No. ARB(AF)/06/1",,KGZ,,Kyrgyz Republic- Turkey BIT,788.0,Sistem Mühendislik Inşaat Sanayi ve Ticaret A.Ş.,ICSID Additional Facility,,Kyrgyz Republic- Turkey BIT,,ARB(AF)/06/1
1066,"Swembalt AB, Sweden v. The Republic of Latvia, UNCITRAL",,LVA,,Latvia-Sweden BIT,575.0,"Swembalt AB, Sweden",UNCITRAL,,Latvia-Sweden BIT,,
2284,"Stans Energy Corp. and Kutisay Mining LLC v. ­The Kyrgyz Republic, PCA Case No 2015-32","Mining and quarrying, including hydrocarbons (oil and gas)",KGZ,"US $117,800,000",CIS Convention on Protection of Investor Rights (1997) (Russian),2414.0,Stans Energy,,In favour of Investor,CIS Convention on Protection of Investor Rights (1997),,
2560,"İçkale İnşaat Limited Şirketi v. Turkmenistan, ICSID Case No. ARB/10/24",,TKM,,Turkey-Turkmenistan BIT,634.0,Şirketi,ICSID,,Turkey-Turkmenistan BIT,,ARB/10/24
4034,"Stabil LLC and Others v. Russian Federation, UNCITRAL, PCA Case no. 2015-35","Mining and quarrying, including hydrocarbons (oil and gas)",,,Russian Federation - Ukraine BIT 1998,3004.0,,UNCITRAL,,Russian Federation - Ukraine BIT 1998,,
2110,"Aaron C. Berkowitz, Brett E. Berkowitz and Trevor B. Berkowitz (formerly Spence International Investments and others) v. Republic of Costa Rica, ICSID Case No. UNCT/13/2",Real estate activities,CRI,,CAFTA,231.0,"Spence International Investments, Holsten, Copher, Berkowitz, Gremillion",UNCITRAL,,CAFTA,,UNCT/13/2
1026,"Siemens A.G. v. The Argentine Republic, ICSID Case No. ARB/02/8",,ARG,,Argentina-Germany BIT,369.0,Siemens A.G.,ICSID,,Argentina-Germany BIT,,ARB/02/8
1022,"Waguih Elie George Siag and Clorinda Vecchi v. The Arab Republic of Egypt, ICSID Case No. ARB/05/15",,EGY,,Egypt-Italy BIT,560.0,"Siag, Vecchi",ICSID,,Egypt-Italy BIT,,ARB/05/15
3322,"Shareholders of SESAM v. Central African Republic, ICSID Case No. CONC/07/01","Agriculture, forestry and fishing",,,,,,ICSID,Unknown (Data not available),,,CONC/07/1
3873,"Shanara Maritime International, S.A. and Marfield Ltd. Inc. v. United Mexican States",Administrative and support service activities,,,Mexico- Panama Bilateral Investment Treaty(Spanish),2533.0,,,,Mexico- Panama Bilateral Investment Treaty,,
3046,"SGS Société Générale de Surveillance S.A. v. Islamic Republic of Pakistan, ICSID Case No. ARB/01/13",,PAK,,,556.0,SGS Société Générale de Surveillance S.A.,,,Pakistan-Switzerland BIT,PAK,ARB/01/13
1018,"SGS Société Générale de Surveillance S.A. v. Republic of the Philippines, ICSID Case No. ARB/02/6",,PHL,,Philippines-Switzerland BIT,559.0,SGS Société Générale de Surveillance S.A.,ICSID,,Philippines-Switzerland BIT,,ARB/02/6
3661,"Sergei Viktorovich Pugachev v. The Russian Federation, UNCITRAL",Construction,,,Russia-France BIT (French),2337.0,,UNCITRAL,,Russia-France BIT,,
1016,"SGS Société Générale de Surveillance S.A. v. The Republic of Paraguay, ICSID Case No. ARB/07/29",,PRY,,Paraguay-Switzerland BIT,557.0,SGS Société Générale de Surveillance S.A.,ICSID,,Paraguay-Switzerland BIT,,ARB/07/29
2230,"Erbil Serter v. French Republic, ICSID Case No. ARB/13/22",,FRA,,Turkey-France BIT,1178.0,Serter,ICSID,,Turkey-France BIT,,ARB/13/22
1179,"Les Laboratoires Servier, S.A.A., Biofarma, S.A.S., Arts et Techniques du Progres S.A.S. v. Republic of Poland, UNCITRAL",,POL,,France-Poland BIT,612.0,"Servier, Biofarma, Les Laboratoires Servier, Arts et Techniques du Progres S.A.S.",UNCITRAL,,France-Poland BIT,,
1009,"SGS Société Générale de Surveillance S.A. v. Islamic Republic of Pakistan, ICSID Case No. ARB/01/13",,PAK,,Pakistan-Switzerland BIT,556.0,SGS Société Générale de Surveillance S.A.,ICSID,,Pakistan-Switzerland BIT,,ARB/01/13
2055,"Carl A. Sax and others v. The City of St. Petersburg, UNCITRAL",,,,,,Sax,UNCITRAL,,,,
3329,"Scancem International ANS v. Republic of Congo, ICSID Case No. ARB/06/12",Construction,,,,,,ICSID,Settled,,,ARB/06/12
3326,"Scimitar Exploration Limited v. Bangladesh and Bangladesh Oil, Gas and Mineral Corporation, ICSID Case No. ARB/92/2","Mining and quarrying, including hydrocarbons (oil and gas)",,,,,,ICSID,Discontinued,,,ARB/92/2
1002,"Sempra Energy International v. The Argentine Republic, ICSID Case No. ARB/02/16",,ARG,,Argentina-United States BIT,179.0,Sempra Energy International,ICSID,,Argentina-United States BIT,,ARB/02/16
982,"Mr. Franz Sedelmayer v. The Russian Federation, SCC",,RUS,,Germany-Russian Federation BIT,550.0,Sedelmayer,ad hoc,,Germany-Russian Federation BIT,,
3328,"Scancem International ANS v. Republic of Congo, ICSID Case No. ARB/06/12",Construction,,,,,,ICSID,Settled,,,ARB/06/12
1456,"SAUR International SA v. Republic of Argentina, ICSID Case No. ARB/04/4",,ARG,,Argentina-France BIT,234.0,SAUR International SA,ICSID,,Argentina-France BIT,,ARB/04/4
954,"Salini Costruttori S.p.A. and Italstrade S.p.A. v. The Hashemite Kingdom of Jordan, ICSID Case No. ARB/02/13",,JOR,,Italy-Jordan BIT,542.0,"Salini Costruttori S.p.A., Italstrade S.p.A.",ICSID,,Italy-Jordan BIT,,ARB/02/13
2050,"Sanum Investments Limited v. Lao Peoples Democratic Republic, UNCITRAL, PCA Case No. 2013-13",,LAO,,China-Laos BIT,901.0,Sanum Investments Limited,UNCITRAL,,China-Laos BIT,,2013-13
958,"Salini Costruttori S.p.A. and Italstrade S.p.A. v. Kingdom of Morocco, ICSID Case No. ARB/00/4",,MAR,,Italy-Morocco BIT,247.0,"Salini Costruttori S.p.A. , Italstrade S.p.A.",ICSID,,Italy-Morocco BIT,,ARB/00/4
961,"Saluka Investments B.V. v. The Czech Republic, UNCITRAL",,CZE,,Czech Republic-Netherlands BIT,212.0,Saluka Investments B.V.,UNCITRAL,,Czech Republic-Netherlands BIT,,
4025,"Shanara Maritime International, S.A. and Marfield Ltd. Inc. v. United MexicanStates, UNCITRAL",Administrative and support service activities,,,Mexico - Panama BIT 2005,2956.0,,,,Mexico - Panama BIT 2005,,
2299,"Hussain Sajwani, Damac Park Avenue for Real Estate Development S.A.E., and Damac Gamsha Bay for Development S.A.E. v. Arab Republic of Egypt, ICSID Case No. ARB/11/16",,EGY,,Egypt-United Arab Emirates BIT,984.0,"Sajwani, Damac Park Avenue for Real Estate Development S.A.E., Damac Gamsha Bay for Development S.A.E.",ICSID,,Egypt-United Arab Emirates BIT,,ARB/11/16
951,"Saipem S.p.A. v. The People's Republic of Bangladesh, ICSID Case No. ARB/05/07",,BGD,,Bangladesh-Italy BIT,539.0,Saipem S.p.A.,ICSID,,Bangladesh-Italy BIT,,ARB/05/7
1196,"Saint Marys VCNA, LLC v. Government of Canada",,CAN,,NAFTA,11.0,"Saint Marys VCNA, LLC",,,NAFTA,,
946,"Saar Papier Vertriebs GmbH v. Poland, UNCITRAL",,POL,,Germany-Poland BIT,466.0,Saar Papier Vertriebs GmbH,UNCITRAL,,Germany-Poland BIT,,
3522,"S.A.R.L. Benvenuti & Bonfant v. People's Republic of the Congo, ICSID Case No. ARB/77/2",Other service activities,,,,,,ICSID,In favour of Investor,,,ARB/77/2
967,"S & T Oil Equipment and Machinery Ltd. v. Romania, ICSID Case No. ARB/07/13",,ROU,,Romania-United States BIT,114.0,S & T Oil Equipment and Machinery Ltd.,ICSID,,Romania-United States BIT,,ARB/07/13
3320,"Shell Nigeria Ultra Deep Limited v. Federal Republic of Nigeria, ICSID Case No. ARB/07/18","Mining and quarrying, including hydrocarbons (oil and gas)",,,Netherlands-Nigeria BIT,1910.0,,ICSID,Discontinued,Netherlands-Nigeria BIT,,ARB/07/18
1734,"Vincent J. Ryan, Schooner Capital LLC, and Atlantic Investment Partners LLC v. Republic of Poland, ICSID Case No. ARB(AF)/11/3",,POL,,Poland-United States BIT,835.0,"Ryan, Schooner Capital LLC, Atlantic Investment Partners LLC",ICSID Additional Facility,,Poland-United States BIT,,ARB(AF)/11/3
3331,"Russell Resources International Limited and others v. Democratic Republic of the Congo, ICSID Case No. ARB/04/11","Mining and quarrying, including hydrocarbons (oil and gas)",,,,,,ICSID,Discontinued,,,ARB/04/11
2048,"Rusoro Mining Ltd. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB(AF)/12/5",,VEN,,Canada-Venezuela BIT,467.0,Rusoro Mining Ltd.,ICSID Additional Facility,,Canada-Venezuela BIT,,ARB(AF)/12/5
942,"Rumeli Telekom A.S. and Telsim Mobil Telekomunikasyon Hizmetleri A.S. v. Republic of Kazakhstan, ICSID Case No. ARB/05/16",,KAZ,,Kazakhstan-Turkey BIT,536.0,"Rumeli Telekom A.S., Telsim Mobil Telekomunikasyon Hizmetleri A.S.",ICSID,,Kazakhstan-Turkey BIT,,ARB/05/16
3359,"RSM Production Corporation v. Republic of Cameroon, ICSID Case No. CONC/11/1","Mining and quarrying, including hydrocarbons (oil and gas)",,,,,,ICSID,Unknown (Data not available),,,CONC/11/1
2706,"RSM Production Corporation v. Saint Lucia, ICSID Case No. ARB/12/10",,LCA,,,,RSM Production Corporation,ICSID,,,,ARB/12/10
940,"RSM Production Corporation v. Grenada, ICSID Case No. ARB/05/14",,GRD,,,,RSM Production Corporation,ICSID,,,,ARB/05/14
969,"S.D. Myers, Inc. v. Government of Canada, UNCITRAL",,CAN,,NAFTA,11.0,"S.D. Myers, Inc.",UNCITRAL,,NAFTA,,
2317,"RREEF Infrastructure (G.P.) Limited and RREEF Pan-European Infrastructure Two Lux S.à r.l. v. Kingdom of Spain, ICSID Case No. ARB/13/30",,ESP,,Energy Charter Treaty (ECT),59.0,"RREEF Infrastructure (G.P.) Limited, RREEF Pan-European Infrastructure Two Lux S.à r.l.",ICSID,,Energy Charter Treaty (ECT),,ARB/13/30
1543,"Ruby Roz Agricol and Kaseem Omar v. Kazakhstan, UNCITRAL",,KAZ,,,,"Roz Agricol, Omar",UNCITRAL,,,,
927,"Spyridon Roussalis v. Romania, ICSID Case No. ARB/06/1",,ROU,,,531.0,Roussalis,ICSID,,Greece-Romania BIT,,ARB/06/1
923,"RosInvestCo UK Ltd. v. The Russian Federation, SCC Case No. V079/2005",,RUS,,Russian Federation-United Kingdom BIT,529.0,RosInvestCo UK Ltd.,SCC,,Russian Federation-United Kingdom BIT,,V079/2005
920,"The Rompetrol Group N.V. v. Romania, ICSID Case No. ARB/06/3",,ROU,,Netherlands-Romania BIT,527.0,Rompetrol Group N.V.,ICSID,,Netherlands-Romania BIT,,ARB/06/3
918,"Romak S.A. (Switzerland) v . The Republic of Uzbekistan, UNCITRAL, PCA Case No. AA280",,UZB,,Switzerland-Uzbekistan BIT,524.0,Romak S.A. (Switzerland),UNCITRAL,,Switzerland-Uzbekistan BIT,,AA280
3333,"Ridgepointe Overseas Developments, Ltd. v. Democratic Republic of the Congo and Générale des Carrières et des Mines, ICSID Case No. ARB/00/8","Mining and quarrying, including hydrocarbons (oil and gas)",,,,,,ICSID,Discontinued,,,ARB/00/8
3595,"RGA Reinsurance Company v. Argentine Republic, ICSID Case No. ARB/04/20",Financial and insurance activities,,,Argentina-United States BIT,179.0,,ICSID,Settled,Argentina-United States BIT,,ARB/04/20
3335,"Reynolds Jamaica Mines Limited and Reynolds Metals Company v. Jamaica, ICSID Case No. ARB/74/4","Mining and quarrying, including hydrocarbons (oil and gas)",,,,,,ICSID,Discontinued,,,ARB/74/4
1712,"James Falgout, Barbara Falgout, Clarence Johnson and Retire in Chiriqui, S.A v. The Republic of Panama",,PAN,,Panama-United States of America BIT,460.0,"Retire in Chiriqui S.A., Falgout, Johnson",,,Panama-United States of America BIT,,
2046,"Repsol, S.A. and Repsol Butano, S.A. v. Argentine Republic, ICSID Case No. ARB/12/38",,ARG,,Argentina-Spain BIT,332.0,"Repsol, S.A.",ICSID,,Argentina-Spain BIT,,ARB/12/38
1913,"Repsol YPF Ecuador, S.A. and others v. Republic of Ecuador and Empresa Estatal Petróleos del Ecuador (PetroEcuador), ICSID Case No. ARB/08/10",,ECU,,Ecuador-Spain BIT,857.0,"Repsol YPF Ecuador, S.A.",ICSID,,Ecuador-Spain BIT,,ARB/08/10
1912,"Repsol YPF Ecuador, S.A. and others v. Republic of Ecuador and Empresa Estatal Petróleos del Ecuador (PetroEcuador), ICSID Case No. ARB/08/10",,ECU,,Ecuador-Spain BIT,857.0,"Repsol YPF Ecuador, S.A.",ICSID,,Ecuador-Spain BIT,,ARB/08/10
1911,"Repsol YPF Ecuador, S.A. and others v. Republic of Ecuador and Empresa Estatal Petróleos del Ecuador (PetroEcuador), ICSID Case No. ARB/08/10",,ECU,,Ecuador-Spain BIT,857.0,"Repsol YPF Ecuador, S.A.",ICSID,,Ecuador-Spain BIT,,ARB/08/10
915,"Renta 4 S.V.S.A, Ahorro Corporación Emergentes F.I., Ahorro Corporación Eurofondo F.I., Rovime Inversiones SICAV S.A., Quasar de Valors SICAV S.A., Orgor de Valores SICAV S.A., GBI 9000 SICAV S.A. v. The Russian Federation, SCC No. 24/2007",,RUS,,Russian Federation-Spain BIT,523.0,"Renta 4 S.V.S.A, Ahorro Corporacionemergentes F.I., Quasar de Valors SICAV S.A., Orgor de Valores SICAV S.A., GBI 9000 SICAV S.A., ALOS 34 S.L.",SCC,,Russian Federation-Spain BIT,,
903,"Remington Worldwide Limited v. Ukraine, SCC",,UKR,,Energy Charter Treaty (ECT),59.0,Remington Worldwide Limited,SCC,,Energy Charter Treaty (ECT),,
887,"Railroad Development Corporation v. Republic of Guatemala, ICSID Case No. ARB/07/23",,GTM,,CAFTA,231.0,Railroad Development Corporation,ICSID,,CAFTA,,ARB/07/23
901,"Rail World Estonia LLC, Railroad Development Corporation and EEIF Rail BV v. Republic of Estonia, ICSID Case No. ARB/06/6",,EST,,Estonia-Netherlands BIT,555.0,"Rail World Estonia LLC, EEIF Rail BV",ICSID,,Estonia-Netherlands BIT,,ARB/06/6
1188,"Rafat Ali Rizvi v. Republic of Indonesia, ICSID Case No. ARB/11/13",,IDN,,Indonesia-United Kingdom BIT,630.0,Rizvi,ICSID,,Indonesia-United Kingdom BIT,,ARB/11/13
885,"Quiborax S.A., Non Metallic Minerals S.A. and Allan Fosk Kaplún v. Plurinational State of Bolivia, ICSID Case No. ARB/06/2",,BOL,,Bolivia-Chile BIT,516.0,"Quiborax S.A., Non Metallic Minerals S.A. , Fosk Kaplún",ICSID,,Bolivia-Chile BIT,,ARB/06/2
883,"Quadrant Pacific Growth Fund L.P. and Canasco Holdings Inc. v. Republic of Costa Rica, ICSID Case No. ARB(AF)/08/1",,CRI,,Canada-Costa Rica BIT,96.0,"Quadrant Pacific Growth Fund L.P., Canasco Holdings Inc.",ICSID Additional Facility,,Canada-Costa Rica BIT,,ARB(AF)/08/1
880,"PSEG Global, Inc., The North American Coal Corporation, and Konya Ingin Electrik Üretim ve Ticaret Limited Sirketi v. Republic of Turkey, ICSID Case No. ARB/02/5",,TUR,,Turkey-United States BIT,515.0,"PSEG Global, Inc., North American Coal Corporation, Konya Ingin Electrik Üretim ve Ticaret Limited Sirketi",ICSID,,Turkey-United States BIT,,ARB/02/5
2044,Progas Energy Ltd. v. Pakistan,,PAK,,Mauritius-Pakistan BIT,899.0,Progas Energy Ltd.,,,Mauritius-Pakistan BIT,,
4088,Primero  Mining  Corp. v. Mexico,"Mining and quarrying, including hydrocarbons (oil and gas)",,,North American Free Trade Agreement (NAFTA),11.0,,,,NAFTA,,
860,"Polska Energetyka Holding S.A. v. Republic of Turkey, UNCITRAL",,TUR,,Poland-Turkey BIT,191.0,Polska Energetyka Holding S.A.,UNCITRAL,,Poland-Turkey BIT,,
2770,"PNG Sustainable Development Program Ltd. v. Independent State of Papua New Guinea, ICSID Case No. ARB/13/33",,PNG,,Papua New Guinea's 1992 Investment Promotion Act,,PNG Sustainable Development Program Ltd.,ICSID,,,,ARB/13/33
3111,"Pluspetrol Perú Corporation and others v. Perupetro S.A, ICSID Case No. ARB/12/28","Mining and quarrying, including hydrocarbons (oil and gas)",,,Contrato de Licencia para la Explotación de Hidrocarburos en el Lote 56,,"Pluspetrol Peru Corporation S.A., Pluspetrol Lote 56 S.A., Hunt Oil Company of Peru L.L.C., Sucursal del Peru, SK Innovation, Sucursal Peruana, Tecpetrol Bloque 5 S.A.C., Sonatrach Peru Corporation S.A.C., Repsol Exploracion Peru, Sucursal Del Peru",ICSID,,,,ARB/12/28
857,"Plama Consortium Limited v. Republic of Bulgaria, ICSID Case No. ARB/03/24",,BGR,,Energy Charter Treaty (ECT),59.0,Plama Consortium Limited,ICSID,,Energy Charter Treaty (ECT),,ARB/03/24
863,"Pope & Talbot Inc. v. The Government of Canada, UNCITRAL","Agriculture, forestry and fishing",CAN,"US $461,566",NAFTA,11.0,Pope & Talbot Inc.,UNCITRAL,In favour of Investor,NAFTA,,
2404,"RECOFI SA v. Vietnam, UNCITRAL",Accommodation and food service activities,VNM,,France-Vietnam BIT,1016.0,RECOFI,UNCITRAL,In favour of State,France-Vietnam BIT,,
1282,Plain Packaging of Tobacco Products Dispute,,,,NAFTA,11.0,Plain Packaging of Tobacco Products Dispute,,,NAFTA,CAN,
3970,"PJSC CB PrivatBank and Finance Company Finilon LLC v. The Russian Federation, PCA Case No. 2015-21",Financial and insurance activities,,,Russian Federation - Ukraine BIT (1998),2719.0,,UNCITRAL,,Russian Federation - Ukraine BIT (1998),,2015-21
3585,"Pioneer Natural Resources Company, Pioneer Natural Resources (Argentina) S.A. and Pioneer Natural Resources (Tierra del Fuego) S.A. v. Argentine Republic, ICSID Case No. ARB/03/12","Electricity, gas, steam and air conditioning supply",,,Argentina-United States BIT,179.0,,ICSID,Settled,Argentina-United States BIT,,ARB/03/12
2073,"Poštová banka, a.s. and ISTROKAPITAL SE v. Hellenic Republic, ICSID Case No. ARB/13/8",,GRC,,Cyprus-Greece BIT,915.0,"Poštová banka, a.s. , ISTROKAPITAL SE",ICSID,,Cyprus-Greece BIT,,ARB/13/8
3584,"Pioneer Natural Resources Company, Pioneer Natural Resources (Argentina) S.A. and Pioneer Natural Resources (Tierra del Fuego) S.A. v. Argentine Republic, ICSID Case No. ARB/03/12","Electricity, gas, steam and air conditioning supply",,,Argentina-United States BIT,179.0,,ICSID,Settled,Argentina-United States BIT,,ARB/03/12
3088,"Ping An Life Insurance Company, Limited and Ping An Insurance (Group) Company, Limited v. The Government of Belgium, ICSID Case No. ARB/12/29",Financial and insurance activities,BEL,,China-Belgium BIT (1986),1427.0,"Ping An Life Insurance Company Limited,  Ping An Insurance (Group) Company Limited",,In favour of State,China-Belgium BIT (1986),,ARB/12/29
850,"Phoenix Action, Ltd. v. The Czech Republic, ICSID Case No. ARB/06/5",,CZE,,Czech Republic-Israel BIT,508.0,"Phoenix Action, Ltd.",ICSID,,Czech Republic-Israel BIT,,ARB/06/5
460,"Philip Morris Brands Sàrl, Philip Morris Products S.A. and Abal Hermanos S.A. v. Oriental Republic of Uruguay, ICSID Case No. ARB/10/7 (formerly FTR Holding SA, Philip Morris Products S.A. and Abal Hermanos S.A. v. Oriental Republic of Uruguay)",,URY,,Switzerland-Uruguay BIT,314.0,"Philip Morris Brands Sàrl, Abal Hermanos S.A.",ICSID,,Switzerland-Uruguay BIT,,ARB/10/7
851,"Philip Morris Asia Limited v. The Commonwealth of Australia, UNCITRAL, PCA Case No. 2012-12",,AUS,,Australia-Hong Kong BIT,509.0,Philip Morris Asia Limited,UNCITRAL,,Australia-Hong Kong BIT,,2012-12
825,"Petrobart Limited v. The Kyrgyz Republic, SCC Case No. 126/2003",,KGZ,,Energy Charter Treaty (ECT),59.0,Petrobart Limited,SCC,,Energy Charter Treaty (ECT),,126/2003
823,"Petrobart Limited v. The Kyrgyz Republic, UNCITRAL",,KGZ,,Kyrgyz Foreign Investment Law,,Petrobart Limited,UNCITRAL,,,,
3984,"Peter De Sutter, Kristof De Sutter, DS 2 S.A. and Polo Garments Majunga S.A.R.L. v. Republic of Madagascar",Other service activities,,,Belgium/Luxembourg- Madagascar BIT (French),2747.0,,,,Belgium/Luxembourg- Madagascar BIT,,
819,"Perenco Ecuador Ltd. v. The Republic of Ecuador and Empresa Estatal Petróleos del Ecuador (Petroecuador), ICSID Case No. ARB/08/6",,ECU,,Ecuador-France BIT,495.0,Perenco Ecuador Ltd.,ICSID,,Ecuador-France BIT,,ARB/08/6
816,"Sergei Paushok, CJSC Golden East Company and CJSC Vostokneftegaz Company v. The Government of Mongolia, UNCITRAL",,MNG,,Mongolia-Russian Federation BIT,494.0,"Paushok, CJSC Golden East Company",UNCITRAL,,Mongolia-Russian Federation BIT,,
814,"Participaciones Inversiones Portuarias SARL v. Gabonese Republic, ICSID Case No. ARB/08/17",,GAB,,Gabon-BLEU (Belgium Luxembourg Economic Union) BIT,1175.0,Participaciones Inversiones Portuarias SARL,ICSID,,Gabon-BLEU (Belgium Luxembourg Economic Union) BIT,,ARB/08/17
812,"Parkerings-Compagniet AS v. Republic of Lithuania, ICSID Case No. ARB/05/8",,LTU,,Lithuania-Norwary BIT,492.0,Parkerings-Compagniet AS,ICSID,,Lithuania-Norwary BIT,,ARB/05/8
810,"Pantechniki S.A. Contractors & Engineers (Greece) v. The Republic of Albania, ICSID Case No. ARB/07/21",,ALB,,Albania-Greece BIT,490.0,Pantechniki S.A. Contractors & Engineers (Greece),ICSID,,Albania-Greece BIT,,ARB/07/21
1881,"Pan American Energy LLC v. Plurinational State of Bolivia, ICSID Case No. ARB/10/8",,BOL,,Bolivia-United States BIT,359.0,Pan American Energy LLC,ICSID,,Bolivia-United States BIT,,ARB/10/8
808,"Pan American Energy LLC and BP Argentina Exploration Company v. The Argentine Republic, ICSID Case No. ARB/03/13",,ARG,,Argentina-United States BIT,179.0,"Pan American Energy LLC , BP Argentina Exploration Company",ICSID,,Argentina-United States BIT,,ARB/03/13
783,"Pac Rim Cayman LLC v. Republic of El Salvador, ICSID Case No. ARB/09/12",,SLV,,CAFTA,231.0,Pac Rim Cayman LLC,ICSID,,CAFTA,,ARB/09/12
781,"Oxus Gold plc v. Republic of Uzbekistan, the State Committee of Uzbekistan for Geology & Mineral Resources, and Navoi Mining & Metallurgical Kombinat, UNCITRAL",,UZB,,United Kingdom-Uzbekistan BIT,483.0,Oxus Gold plc,UNCITRAL,,United Kingdom-Uzbekistan BIT,,
2153,"Ossama Al Sharif v. Arab Republic of Egypt, ICSID Case No. ARB/13/5",,EGY,,Egypt-Jordan BIT,1181.0,Ossama Al Sharif,ICSID,,Egypt-Jordan BIT,,ARB/13/5
2151,"Ossama Al Sharif v. Arab Republic of Egypt, ICSID Case No. ARB/13/4",,EGY,,Egypt-Jordan BIT,1181.0,Ossama Al Sharif,ICSID,,Egypt-Jordan BIT,,ARB/13/4
2129,"Ossama Al Sharif v. Arab Republic of Egypt, ICSID Case No. ARB/13/3",,EGY,,Egypt-Jordan BIT,1181.0,Ossama Al Sharif,ICSID,,Egypt-Jordan BIT,,ARB/13/3
829,"Victor Pey Casado and President Allende Foundation v. Republic of Chile, ICSID Case No. ARB/98/2",,CHL,,Chile-Spain BIT,501.0,Pey Casado,ICSID,,Chile-Spain BIT,,ARB/98/2
2038,"Orascom Telelcom Holding v. Algeria, UNCITRAL",,DZA,,Algeria-Egypt BIT,896.0,Orascom Telelcom Holding,UNCITRAL,,Algeria-Egypt BIT,,
779,"OPIC Karimum Corporation v. The Bolivarian Republic of Venezuela, ICSID Case No. ARB/10/14",,VEN,,Venezuela's Law on the Promotion and Protection of Investments (LPPI),,OPIC Karimum Corporation,ICSID,,,,ARB/10/14
3998,"OperaFund Eco-Invest SICAV PLC and Schwab Holding AG v. Kingdom of Spain, ICSID Case No. ARB/15/36","Electricity, gas, steam and air conditioning supply",,,Energy Charter Treaty,2855.0,,ICSID,,Energy Charter Treaty,,ARB/15/36
1222,"Jan Oostergetel and Theodora Laurentius v. The Slovak Republic, UNCITRAL",,SVK,,Netherlands-Slovak Repubic BIT,383.0,"Oostergetel, Laurentius",UNCITRAL,,Netherlands-Slovak Repubic BIT,,
3336,"Olyana Holdings LLC v. Republic of Rwanda, ICSID Case No. ARB/10/10","Agriculture, forestry and fishing",,,,,,ICSID,Discontinued,,,ARB/10/10
776,"Eudoro Armando Olguín v. Republic of Paraguay, ICSID Case No. ARB/98/5",,PRY,,Paraguay-Peru BIT,478.0,Olguín,ICSID,,Paraguay-Peru BIT,,ARB/98/5
3819,Murphy Oil Corporation v. Government of Canada,"Mining and quarrying, including hydrocarbons (oil and gas)",,,North American Free Trade Agreement (NAFTA),11.0,,,,NAFTA,,
770,"Oko Pankki Oyj, VTB Bank (Deutschland) AG and Sampo Bank Plc v. The Republic of Estonia, ICSID Case No. ARB/04/6 (formerly OKO Osuuspankkien Keskuspankki Oyj and others v. Republic of Estonia)",,EST,,Estonia-Finland BIT,475.0,"Oko Pankki Oyj, VTB Bank (Deutschland) AG, Sampo Bank Plc",ICSID,,Estonia-Finland BIT,,ARB/04/6
